dpt,insee,nom,pk_id,voie_ref,voie_nom
29,29024,Carhaix-Plouguer,13,C3,Route de Pont Daoulaz
29,29024,Carhaix-Plouguer,14,C3,Route de Pont Daoulaz
29,29024,Carhaix-Plouguer,15,C3,Route de Pont Daoulaz
29,29152,Motreff,16,,(voie non dénommée)
29,29152,Motreff,17,,(voie non dénommée)
29,29152,Motreff,18,,(voie non dénommée)
22,22202,Plévin,19,,(voie non dénommée)
29,29152,Motreff,20,,(voie non dénommée)
29,29152,Motreff,21,,Route de l'Étang
29,29152,Motreff,22,,Route de l'Étang
29,29152,Motreff,23,,Route de la Pierre Bleue
29,29152,Motreff,24,,Route de Tréogan
29,29152,Motreff,25,,Route de Tréogan
29,29152,Motreff,26,,(voie non dénommée)
29,29152,Motreff,27,D 3,Route de Gourin
22,22373,Tréogan,28,D 3,D 3
22,22373,Tréogan,29,D 3,D 3
22,22373,Tréogan,30,D 3,D 3
56,56066,Gourin,31,D 302,D 302
56,56066,Gourin,32,D 769,D 769
56,56066,Gourin,33,,Pont Saint-Hervé
56,56066,Gourin,34,,Rue Principale de Guernéac'h
56,56066,Gourin,35,,Rue Principale de Guernéac'h
56,56066,Gourin,36,D 27 A,Rue de Carhaix
56,56066,Gourin,37,D 27 A,Rue de Carhaix
56,56066,Gourin,38,D 27 A,Rue de Carhaix
56,56066,Gourin,39,D 1E,Rue de la Libération
56,56066,Gourin,40,D 1E,Rue de la Libération
56,56066,Gourin,41,D 1,D 1
56,56066,Gourin,42,D 1,D 1
56,56066,Gourin,43,D 128,D 128
56,56066,Gourin,44,D 128,D 128
56,56201,Le Saint,45,D 128,D 128
56,56201,Le Saint,46,D 128,D 128
56,56201,Le Saint,47,D 128,D 128
56,56100,Langonnet,48,D 128,D 128
56,56100,Langonnet,49,D 128,D 128
56,56100,Langonnet,50,D 128,D 128
56,56100,Langonnet,51,D 121,Rue Charles Michel
56,56100,Langonnet,52,D 121,Route du Faouët
56,56100,Langonnet,53,D 121,Route du Faouët
56,56100,Langonnet,54,D 121,Rue de Saint-Maur
56,56100,Langonnet,55,D 121,Rue de Saint-Maur
56,56057,Le Faouët,56,D 121,Rue de Saint-Maur
56,56057,Le Faouët,57,D 790,Route de Rostrenen
56,56057,Le Faouët,58,D 790,Route de Rostrenen
56,56057,Le Faouët,59,D 790,Route de Rostrenen
56,56057,Le Faouët,60,D 790,Route de Gourin
56,56057,Le Faouët,61,D 790,Rue de Portz en Haie
56,56057,Le Faouët,62,D 790A,Rue des Cendres
56,56057,Le Faouët,63,,Rue de l'Ellé
56,56057,Le Faouët,64,,Rue de l'Ellé
56,56182,Priziac,65,D 132,Route du Faouët
56,56182,Priziac,66,D 132,Route du Faouët
56,56182,Priziac,67,D 132,Route du Faouët
56,56182,Priziac,68,D 132,Route du Faouët
56,56182,Priziac,69,D 132,Route du Faouët
56,56182,Priziac,70,D 132,Route du Faouët
56,56182,Priziac,71,D 132,Rue du Midi
56,56182,Priziac,72,D 132,Rue de Beg-Er-Lann
56,56182,Priziac,73,D 132,D 132
56,56048,Le Croisty,74,D 132,D 132
56,56048,Le Croisty,75,D 132,D 132
56,56048,Le Croisty,76,D 132,D 132
56,56048,Le Croisty,77,D 110,Rue de la Résistance
56,56048,Le Croisty,78,D 110,D 110
56,56048,Le Croisty,79,D 110,D 110
56,56048,Le Croisty,80,D 110,D 110
